year,month,origin,source,blend,roast_level,type,sales,unit_price,monthly_sales
2015,1,Brazil,In Store,Single,dark,Seasonal,12.0,18.536666666666665,303.75
2015,1,Brazil,Online,Single,dark,Evergreen,291.75,24.404404404404385,303.75
2015,1,Colombia,Online,Single,dark,Evergreen,187.5,20.0,187.5
2015,1,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,9.0,17.575873015873018,101.25
2015,1,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,92.25,20.0,101.25
2015,1,Ethiopia,In Store,Single,medium,Seasonal,6.0,22.093333333333334,6.0
2015,1,Guatemala,In Store,Single,medium,Seasonal,6.0,22.168000000000003,159.75
2015,1,Guatemala,Online,Single,medium,Seasonal,153.75,22.797687861271676,159.75
2015,1,Haiti,In Store,Single,dark,Seasonal,0.75,18.36,219.75
2015,1,Haiti,Online,Single,dark,Seasonal,219.0,20.0,219.75
2015,1,Kenya,In Store,Single,medium,Seasonal,12.75,21.501619047619045,210.75
2015,1,Kenya,Online,Single,medium,Seasonal,198.0,24.0,210.75
2015,1,Mexico,In Store,Single,medium,Seasonal,10.5,17.19407407407407,10.5
2015,1,Panama,Online,Single,light,Seasonal,140.25,24.0,140.25
2015,1,Zambia,In Store,Single,dark,Seasonal,7.5,13.821481481481479,610.5
2015,1,Zambia,Online,Single,dark,Seasonal,603.0,18.62439961575415,610.5
2015,2,Brazil,In Store,Single,dark,Seasonal,12.75,15.877142857142857,310.5
2015,2,Brazil,Online,Single,dark,Evergreen,297.75,27.973102785782906,310.5
2015,2,Colombia,Online,Single,dark,Evergreen,195.0,20.0,195.0
2015,2,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,14.25,18.496666666666663,105.75
2015,2,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,91.5,20.0,105.75
2015,2,Guatemala,In Store,Single,medium,Seasonal,9.0,20.501851851851853,195.75
2015,2,Guatemala,Online,Single,medium,Seasonal,186.75,20.0,195.75
2015,2,Haiti,In Store,Single,dark,Seasonal,21.75,16.368933333333334,234.75
2015,2,Haiti,Online,Single,dark,Seasonal,213.0,20.0,234.75
2015,2,Kenya,In Store,Single,medium,Seasonal,12.0,21.347901234567903,161.25
2015,2,Kenya,Online,Single,medium,Seasonal,149.25,24.0,161.25
2015,2,Panama,Online,Single,light,Seasonal,178.5,24.0,178.5
2015,2,Zambia,In Store,Single,dark,Seasonal,11.25,17.03230769230769,411.75
2015,2,Zambia,Online,Single,dark,Seasonal,400.5,18.995670995670977,411.75
2015,3,Brazil,In Store,Single,dark,Seasonal,20.25,16.844675324675325,210.75
2015,3,Brazil,Online,Single,dark,Evergreen,190.5,24.223227752639517,210.75
2015,3,Colombia,Online,Single,dark,Evergreen,107.25,20.0,107.25
2015,3,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,21.75,12.96888888888889,94.5
2015,3,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,72.75,20.0,94.5
2015,3,Ethiopia,In Store,Single,medium,Evergreen,243.0,14.964904847243552,581.25
2015,3,Ethiopia,In Store,Single,medium,Seasonal,8.25,15.506172839506174,581.25
2015,3,Ethiopia,Online,Single,medium,Evergreen,330.0,20.0,581.25
2015,3,Guatemala,In Store,Single,medium,Seasonal,1.5,18.36,15.0
2015,3,Guatemala,Online,Single,medium,Seasonal,13.5,20.0,15.0
2015,3,Haiti,Online,Single,dark,Seasonal,116.25,20.0,116.25
2015,3,Kenya,In Store,Single,medium,Seasonal,12.0,18.785833333333333,12.0
2015,3,Panama,Online,Single,light,Seasonal,211.0,66.46715328467154,211.0
2015,3,Zambia,In Store,Single,dark,Seasonal,18.0,14.766814814814813,320.25
2015,3,Zambia,Online,Single,dark,Seasonal,302.25,18.971428571428532,320.25
2015,4,Brazil,In Store,Single,dark,Seasonal,27.75,17.014543209876546,261.0
2015,4,Brazil,Online,Single,dark,Evergreen,233.25,24.37580437580437,261.0
2015,4,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,26.25,17.43432098765432,131.25
2015,4,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,105.0,20.0,131.25
2015,4,Ethiopia,In Store,Single,medium,Evergreen,343.5,16.710630906130902,536.25
2015,4,Ethiopia,Online,Single,medium,Evergreen,192.75,20.0,536.25
2015,4,Haiti,Online,Single,dark,Seasonal,108.0,20.0,108.0
2015,4,Kenya,In Store,Single,medium,Seasonal,3.75,20.225,3.75
2015,4,Panama,In Store,Single,light,Seasonal,1.5,35.666666666666664,202.25
2015,4,Panama,Online,Single,light,Seasonal,200.75,60.208695652173915,202.25
2015,4,Zambia,In Store,Single,dark,Seasonal,18.75,16.308366013071893,345.75
2015,4,Zambia,Online,Single,dark,Seasonal,327.0,18.959349593495904,345.75
2015,5,Brazil,In Store,Single,dark,Evergreen,1.5,20.0,249.0
2015,5,Brazil,In Store,Single,dark,Seasonal,21.75,16.006481481481483,249.0
2015,5,Brazil,Online,Single,dark,Evergreen,225.75,25.73333333333332,249.0
2015,5,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,24.0,19.284795321637425,118.5
2015,5,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,94.5,20.0,118.5
2015,5,Ethiopia,In Store,Single,medium,Evergreen,282.75,16.58082403349887,575.25
2015,5,Ethiopia,Online,Single,medium,Evergreen,209.25,20.0,575.25
2015,5,Ethiopia,Online,Single,medium,Seasonal,83.25,24.0,575.25
2015,5,Haiti,In Store,Single,dark,Seasonal,0.75,18.453333333333333,120.0
2015,5,Haiti,Online,Single,dark,Seasonal,119.25,20.0,120.0
2015,5,Panama,In Store,Single,light,Seasonal,7.75,29.316363636363636,188.0
2015,5,Panama,Online,Single,light,Seasonal,180.25,42.84878048780488,188.0
2015,5,Yemen,Online,Single,medium,Seasonal,115.5,45.33333333333328,115.5
2015,5,Zambia,In Store,Single,dark,Seasonal,12.0,19.252307692307692,303.75
2015,5,Zambia,Online,Single,dark,Seasonal,291.75,18.930091185410312,303.75
2015,6,Brazil,In Store,Single,dark,Seasonal,9.0,17.19511111111111,145.5
2015,6,Brazil,Online,Single,dark,Evergreen,136.5,20.0,145.5
2015,6,Colombia,In Store,Single,dark,Evergreen,57.0,20.0,254.25
2015,6,Colombia,Online,Single,dark,Evergreen,197.25,24.0,254.25
2015,6,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,143.25,19.93500328731098,210.0
2015,6,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,66.75,20.0,210.0
2015,6,Ethiopia,In Store,Single,medium,Evergreen,307.5,18.525301351271604,823.5
2015,6,Ethiopia,In Store,Single,medium,Seasonal,215.25,20.5232057797708,823.5
2015,6,Ethiopia,Online,Single,medium,Evergreen,114.0,20.0,823.5
2015,6,Ethiopia,Online,Single,medium,Seasonal,186.75,24.0,823.5
2015,6,Haiti,Online,Single,dark,Seasonal,67.5,20.0,67.5
2015,6,"Kenya, Colombia",Online,Blend,medium,Evergreen,33.0,24.0,33.0
2015,6,Panama,In Store,Single,light,Seasonal,72.5,32.995604395604396,190.0
2015,6,Panama,Online,Single,light,Seasonal,117.5,50.666666666666664,190.0
2015,6,Yemen,In Store,Single,medium,Seasonal,44.25,42.6086111111111,114.75
2015,6,Yemen,Online,Single,medium,Seasonal,70.5,45.33333333333338,114.75
2015,6,Zambia,In Store,Single,dark,Seasonal,75.0,17.41686977299879,225.0
2015,6,Zambia,Online,Single,dark,Seasonal,150.0,18.337448559670797,225.0
2015,7,Brazil,Online,Single,dark,Evergreen,136.5,20.0,136.5
2015,7,Colombia,In Store,Single,dark,Evergreen,327.0,23.924170616113745,483.0
2015,7,Colombia,Online,Single,dark,Evergreen,156.0,24.0,483.0
2015,7,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,345.75,19.988366508688785,432.0
2015,7,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,86.25,20.0,432.0
2015,7,Ethiopia,In Store,Single,medium,Evergreen,287.25,19.796115832546427,836.25
2015,7,Ethiopia,In Store,Single,medium,Seasonal,303.75,23.817090002931693,836.25
2015,7,Ethiopia,Online,Single,medium,Evergreen,121.5,20.0,836.25
2015,7,Ethiopia,Online,Single,medium,Seasonal,123.75,24.0,836.25
2015,7,Haiti,Online,Single,dark,Seasonal,196.5,20.0,196.5
2015,7,"Kenya, Colombia",Online,Blend,medium,Evergreen,66.75,24.0,66.75
2015,7,Panama,In Store,Single,light,Seasonal,151.25,34.93069306930693,252.25
2015,7,Panama,Online,Single,light,Seasonal,101.0,50.86725663716814,252.25
2015,7,Yemen,In Store,Single,medium,Seasonal,66.75,45.333333333333385,120.0
2015,7,Yemen,Online,Single,medium,Seasonal,53.25,45.33333333333334,120.0
2015,7,Zambia,In Store,Single,dark,Seasonal,13.5,17.333333333333336,78.75
2015,7,Zambia,Online,Single,dark,Seasonal,65.25,17.333333333333332,78.75
2015,8,Brazil,Online,Single,dark,Evergreen,152.25,20.0,152.25
2015,8,Colombia,In Store,Single,dark,Evergreen,346.5,24.0,543.75
2015,8,Colombia,Online,Single,dark,Evergreen,197.25,24.0,543.75
2015,8,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,370.5,20.0,481.5
2015,8,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,111.0,20.0,481.5
2015,8,Ethiopia,In Store,Single,medium,Evergreen,311.25,20.0,946.5
2015,8,Ethiopia,In Store,Single,medium,Seasonal,365.25,24.0,946.5
2015,8,Ethiopia,Online,Single,medium,Evergreen,175.5,20.0,946.5
2015,8,Ethiopia,Online,Single,medium,Seasonal,94.5,24.0,946.5
2015,8,Haiti,In Store,Single,dark,Seasonal,249.0,20.0,432.0
2015,8,Haiti,Online,Single,dark,Seasonal,183.0,20.0,432.0
2015,8,"Kenya, Colombia",Online,Blend,medium,Evergreen,64.5,24.0,64.5
2015,8,Mexico,In Store,Single,medium,Seasonal,105.75,17.333333333333332,453.0
2015,8,Mexico,Online,Single,medium,Seasonal,347.25,18.371615312791732,453.0
2015,8,Panama,In Store,Single,light,Seasonal,177.25,46.01709401709402,277.0
2015,8,Panama,Online,Single,light,Seasonal,99.75,50.654205607476634,277.0
2015,8,Yemen,In Store,Single,medium,Seasonal,72.0,45.33333333333338,116.25
2015,8,Yemen,Online,Single,medium,Seasonal,44.25,39.05882352941175,116.25
2015,9,Brazil,Online,Single,dark,Evergreen,160.5,20.0,161.25
2015,9,Brazil,Online,Single,dark,Seasonal,0.75,20.0,161.25
2015,9,Colombia,In Store,Single,dark,Evergreen,329.25,24.0,521.25
2015,9,Colombia,Online,Single,dark,Evergreen,192.0,24.0,521.25
2015,9,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,337.5,20.0,462.75
2015,9,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,125.25,20.0,462.75
2015,9,Ethiopia,In Store,Single,medium,Evergreen,239.25,20.0,837.75
2015,9,Ethiopia,In Store,Single,medium,Seasonal,326.25,24.0,837.75
2015,9,Ethiopia,Online,Single,medium,Evergreen,178.5,20.0,837.75
2015,9,Ethiopia,Online,Single,medium,Seasonal,93.75,24.0,837.75
2015,9,Haiti,In Store,Single,dark,Seasonal,242.25,20.0,445.5
2015,9,Haiti,Online,Single,dark,Seasonal,203.25,20.0,445.5
2015,9,"Kenya, Colombia",Online,Blend,medium,Evergreen,57.75,24.0,57.75
2015,9,Mexico,In Store,Single,medium,Seasonal,403.5,18.535353535353543,702.0
2015,9,Mexico,Online,Single,medium,Seasonal,298.5,18.81481481481478,702.0
2015,9,Panama,In Store,Single,light,Seasonal,151.25,42.94117647058823,278.25
2015,9,Panama,Online,Single,light,Seasonal,127.0,47.653333333333336,278.25
2015,9,Yemen,In Store,Single,medium,Seasonal,26.25,32.7843137254902,103.5
2015,9,Yemen,Online,Single,medium,Seasonal,77.25,32.0,103.5
2015,9,Zambia,Online,Single,dark,Seasonal,42.0,20.0,42.0
2015,10,Brazil,Online,Single,dark,Evergreen,0.75,20.0,146.25
2015,10,Brazil,Online,Single,dark,Seasonal,145.5,20.0,146.25
2015,10,Colombia,In Store,Single,dark,Evergreen,478.5,24.0,628.5
2015,10,Colombia,Online,Single,dark,Evergreen,150.0,24.0,628.5
2015,10,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,407.25,20.0,545.25
2015,10,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,138.0,20.0,545.25
2015,10,Ethiopia,In Store,Single,medium,Evergreen,317.25,20.0,1053.75
2015,10,Ethiopia,In Store,Single,medium,Seasonal,410.25,24.0,1053.75
2015,10,Ethiopia,Online,Single,medium,Evergreen,181.5,20.0,1053.75
2015,10,Ethiopia,Online,Single,medium,Seasonal,144.75,24.0,1053.75
2015,10,Haiti,In Store,Single,dark,Seasonal,313.5,20.0,501.0
2015,10,Haiti,Online,Single,dark,Seasonal,187.5,20.0,501.0
2015,10,"Kenya, Colombia",Online,Blend,medium,Evergreen,49.5,24.0,49.5
2015,10,Mexico,In Store,Single,medium,Seasonal,558.75,18.787878787878856,758.25
2015,10,Mexico,Online,Single,medium,Seasonal,199.5,18.655367231638436,758.25
2015,10,Panama,In Store,Single,light,Seasonal,144.25,29.11111111111111,249.75
2015,10,Panama,Online,Single,light,Seasonal,105.5,42.41860465116279,249.75
2015,10,Papua New Guinea,Online,Single,light,Seasonal,214.5,20.0,214.5
2015,10,Yemen,Online,Single,medium,Seasonal,76.5,32.0,76.5
2015,10,Zambia,Online,Single,dark,Seasonal,552.0,20.0,552.0
2015,11,Brazil,Online,Single,dark,Seasonal,170.25,20.0,170.25
2015,11,Colombia,In Store,Single,dark,Evergreen,531.0,24.0,733.5
2015,11,Colombia,Online,Single,dark,Evergreen,202.5,24.0,733.5
2015,11,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,476.25,20.0,609.75
2015,11,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,133.5,20.0,609.75
2015,11,Ethiopia,In Store,Single,medium,Evergreen,351.75,20.0,1140.0
2015,11,Ethiopia,In Store,Single,medium,Seasonal,422.25,24.0,1140.0
2015,11,Ethiopia,Online,Single,medium,Evergreen,226.5,20.0,1140.0
2015,11,Ethiopia,Online,Single,medium,Seasonal,139.5,24.0,1140.0
2015,11,Haiti,In Store,Single,dark,Seasonal,93.0,20.0,333.75
2015,11,Haiti,Online,Single,dark,Seasonal,240.75,20.0,333.75
2015,11,Kenya,Online,Single,medium,Seasonal,160.5,24.0,160.5
2015,11,"Kenya, Colombia",Online,Blend,medium,Evergreen,39.75,24.0,39.75
2015,11,Mexico,In Store,Single,medium,Seasonal,478.5,19.036559139784988,657.75
2015,11,Mexico,Online,Single,medium,Seasonal,179.25,19.14920634920636,657.75
2015,11,Panama,In Store,Single,light,Seasonal,143.75,34.26086956521739,640.0
2015,11,Panama,Online,Single,light,Seasonal,496.25,47.61846153846154,640.0
2015,11,Papua New Guinea,In Store,Single,light,Seasonal,216.75,20.0,574.5
2015,11,Papua New Guinea,Online,Single,light,Seasonal,357.75,20.0,574.5
2015,11,Sumatra,Online,Single,dark,Seasonal,96.75,20.0,96.75
2015,11,Yemen,Online,Single,medium,Seasonal,5.25,32.0,5.25
2015,11,Zambia,Online,Single,dark,Seasonal,211.5,20.0,211.5
2015,12,Brazil,Online,Single,dark,Evergreen,3.75,106.4,169.5
2015,12,Brazil,Online,Single,dark,Seasonal,165.75,20.0,169.5
2015,12,Colombia,In Store,Single,dark,Evergreen,765.75,24.0,988.5
2015,12,Colombia,Online,Single,dark,Evergreen,222.75,24.598425196850393,988.5
2015,12,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,775.5,20.0,933.75
2015,12,"Colombia, Brazil, Ethiopia ",Online,Blend,dark,Evergreen,158.25,20.314606741573034,933.75
2015,12,Ethiopia,In Store,Single,medium,Evergreen,510.75,20.0,1541.25
2015,12,Ethiopia,In Store,Single,medium,Seasonal,643.5,24.0,1541.25
2015,12,Ethiopia,Online,Single,medium,Evergreen,236.25,21.554716981132074,1541.25
2015,12,Ethiopia,Online,Single,medium,Seasonal,150.75,24.0,1541.25
2015,12,Haiti,Online,Single,dark,Evergreen,0.75,68.0,133.5
2015,12,Haiti,Online,Single,dark,Seasonal,132.75,20.0,133.5
2015,12,Kenya,In Store,Single,medium,Seasonal,384.0,24.0,540.0
2015,12,Kenya,Online,Single,medium,Seasonal,156.0,24.0,540.0
2015,12,"Kenya, Colombia",Online,Blend,medium,Evergreen,13.5,24.0,13.5
2015,12,Mexico,In Store,Single,medium,Seasonal,60.75,19.962962962962962,187.5
2015,12,Mexico,Online,Single,medium,Seasonal,126.75,20.0,187.5
2015,12,Panama,In Store,Single,light,Seasonal,83.75,67.28767123287672,260.0
2015,12,Panama,Online,Single,light,Seasonal,176.25,46.924369747899156,260.0
2015,12,Papua New Guinea,In Store,Single,light,Seasonal,6.75,20.0,226.5
2015,12,Papua New Guinea,Online,Single,light,Seasonal,219.75,20.0,226.5
2015,12,Rwanda,Online,Single,light,Seasonal,89.25,24.0,89.25
2015,12,Sumatra,In Store,Single,dark,Seasonal,468.75,20.0,729.0
2015,12,Sumatra,Online,Single,dark,Seasonal,260.25,20.0,729.0
2016,1,Brazil,Online,Single,dark,Evergreen,2.25,0.0,148.5
2016,1,Brazil,Online,Single,dark,Seasonal,146.25,20.0,148.5
2016,1,Colombia,In Store,Single,dark,Evergreen,483.0,24.0,677.25
2016,1,Colombia,Online,Single,dark,Evergreen,194.25,24.579185520361992,677.25
2016,1,"Colombia, Brazil, Ethiopia ",In Store,Blend,dark,Evergreen,492.0,20.0,630.0
